Symptom,Description
mucoid_sputum,"Mucoid sputum is a clear, thick and sticky mucus coughed up from the respiratory tract."
blackheads,"Blackheads are small, dark bumps on the skin caused by clogged hair follicles."
mood_swings,"Mood swings are rapid and often unpredictable changes in a person's emotional state."
movement_stiffness,"Movement stiffness is a sensation of difficulty or resistance when attempting to move a joint or limb."
bladder_discomfort,"Bladder discomfort is an unpleasant sensation, pressure or mild pain felt in the bladder area."
swelling_joints,"Swelling joints refers to the enlargement or puffiness around one or more joints, often due to fluid buildup."
yellow_urine,"Yellow urine is urine that appears darker than usual, often indicating dehydration or certain medical conditions."
increased_appetite,"Increased appetite is an unusually strong or persistent feeling of hunger."
loss_of_balance,"Loss of balance is a feeling of unsteadiness, making it difficult to maintain an upright position."
indigestion,"Indigestion is a feeling of discomfort or pain in the upper abdomen, often after eating."
weight_loss,"Unintentional weight loss is when you lose weight without trying, which can be a sign of illness."
weakness_in_limbs,"Weakness in limbs is a reduced strength or power in the arms or legs."
scurring,"Scurring refers to flaking or scaling of the skin, often associated with scalp conditions."
spinning_movements,"Spinning movements are involuntary, repetitive rotational motions of the body or head."
swollen_blood_vessels,"Swollen blood vessels are visible enlargement or bulging of veins or arteries."
continuous_feel_of_urine,"Continuous feel of urine is a persistent sensation of needing to urinate, even after emptying the bladder."
chest_pain,"Chest pain is discomfort or an aching sensation in the chest area, which can range from mild to severe."
visual_disturbances,"Visual disturbances are any changes in vision, such as blurriness, flashes of light, or floaters."
red_sore_around_nose,"A red sore around the nose is an inflamed and often painful lesion on or near the nasal area."
small_dents_in_nails,"Small dents in nails are tiny depressions or pits on the surface of the fingernails or toenails."
blood_in_sputum,"Blood in sputum is the presence of blood mixed with mucus when coughing."
stiff_neck,"A stiff neck is a limited range of motion and discomfort when moving the head, often due to muscle strain."
belly_pain,"Belly pain is a general term for discomfort or pain in the abdominal area."
malaise,"Malaise is a general feeling of discomfort, illness, or uneasiness whose exact cause is difficult to identify."
painful_walking,"Painful walking is discomfort or pain experienced when moving or bearing weight on the legs and feet."
rusty_sputum,"Rusty sputum is a brownish or reddish-brown colored mucus coughed up, often indicating old blood."
swollen_extremeties,"Swollen extremities are the enlargement or puffiness of the hands, arms, feet, or legs due to fluid retention."
congestion,"Congestion is the feeling of fullness or blockage, often in the nasal passages or chest."
ulcers_on_tongue,"Ulcers on the tongue are open sores or lesions that form on the surface of the tongue."
red_spots_over_body,"Red spots over the body are small, reddish discolorations on the skin, which can vary in size and cause."
passage_of_gases,"Passage of gases refers to the expulsion of gas from the digestive tract, commonly known as flatulence."
neck_pain,"Neck pain is discomfort or an aching sensation in the neck region."
dark_urine,"Dark urine is urine that appears unusually dark brown or amber, often a sign of dehydration or liver issues."
sinus_pressure,"Sinus pressure is a feeling of fullness or discomfort in the areas around the nose and eyes, often due to inflamed sinuses."
lack_of_concentration,"Lack of concentration is difficulty focusing attention on a task or thought for an extended period."
stomach_bleeding,"Stomach bleeding is the presence of blood originating from the stomach, which can be seen in vomit or stool."
back_pain,"Back pain is discomfort or an aching sensation in the back region."
knee_pain,"Knee pain is discomfort or an aching sensation in or around the knee joint."
foul_smell_of_urine,"Foul smell of urine is an unusually strong or unpleasant odor emanating from urine."
pain_during_bowel_movements,"Pain during bowel movements is discomfort or pain experienced when passing stool."
high_fever,"A high fever is a body temperature above 38°C (100.4°F), often due to infection."
slurred_speech,"Slurred speech is difficulty articulating words clearly, making speech sound muffled or indistinct."
irregular_sugar_level,"Irregular sugar level refers to blood glucose levels that are either too high or too low."
phlegm,"Phlegm is a thick, sticky type of mucus produced in the respiratory system, often coughed up."
cough,"A cough is a sudden, forceful expulsion of air from the lungs, usually to clear the throat or airways."
stomach_pain,"Stomach pain is discomfort or an aching sensation in the stomach area."
obesity,"Obesity is a medical condition characterized by excessive body fat accumulation."
watering_from_eyes,"Watering from eyes is the excessive production of tears, often leading to watery or tearing eyes."
prominent_veins_on_calf,"Prominent veins on calf are visibly enlarged or bulging veins on the lower leg, often a sign of varicose veins."
patches_in_throat,"Patches in the throat are discolored or raised areas on the lining of the throat."
yellowing_of_eyes,"Yellowing of eyes is a yellowish discoloration of the whites of the eyes, often a sign of jaundice."
abnormal_menstruation,"Abnormal menstruation refers to irregularities in the menstrual cycle, such as unusual bleeding or pain."
cold_hands_and_feets,"Cold hands and feet are a sensation of coldness in the extremities, often due to poor circulation."
internal_itching,"Internal itching is an itchy sensation felt inside the body, without a visible rash."
pus_filled_pimples,"Pus-filled pimples are inflamed bumps on the skin containing pus."
abdominal_pain,"Abdominal pain is discomfort or an aching sensation in the abdomen."
swelled_lymph_nodes,"Swelled lymph nodes are enlarged or palpable lymph glands, often indicating infection or inflammation."
spotting_urination,"Spotting urination refers to the presence of a small amount of blood in the urine."
history_of_alcohol_consumption,"History of alcohol consumption refers to a person's past and present use of alcoholic beverages."
puffy_face_and_eyes,"Puffy face and eyes are swelling or puffiness around the face and eyes, often due to fluid retention."
pain_behind_the_eyes,"Pain behind the eyes is discomfort or aching felt in the area behind the eyeballs."
palpitations,"Palpitations are a sensation of a rapid, strong, or irregular heartbeat."
sunken_eyes,"Sunken eyes are eyes that appear to be recessed deeper into the eye sockets, often due to dehydration or illness."
drying_and_tingling_lips,"Drying and tingling lips are a sensation of dryness and a prickling or pins-and-needles feeling in the lips."
runny_nose,"A runny nose is the excessive discharge of mucus from the nose."
blurred_and_distorted_vision,"Blurred and distorted vision is vision that is unclear and appears wavy or misshapen."
nodal_skin_eruptions,"Nodal skin eruptions are firm, raised bumps or lesions on the skin."
extra_marital_contacts,"Extra-marital contacts refers to sexual relationships outside of marriage."
polyuria,"Polyuria is the excessive production of urine, leading to frequent urination."
muscle_weakness,"Muscle weakness is a lack of muscle strength, making it hard to move or lift objects."
continuous_sneezing,"Continuous sneezing is repeated and uncontrollable episodes of sneezing."
distention_of_abdomen,"Distention of abdomen is the swelling or enlargement of the abdomen due to gas or fluid buildup."
lethargy,"Lethargy is a state of sluggishness, drowsiness, or apathy."
mild_fever,"A mild fever is a slightly elevated body temperature, typically below 38°C (100.4°F)."
muscle_wasting,"Muscle wasting is the decrease in muscle mass, leading to weakened muscles."
redness_of_eyes,"Redness of eyes is the appearance of red or bloodshot eyes, often due to irritation or inflammation."
muscle_pain,"Muscle pain is discomfort or aching sensation in the muscles."
weight_gain,"Weight gain is an increase in body weight, often due to an accumulation of body fat."
bloody_stool,"Bloody stool is the presence of blood in the feces, which can appear red or black."
silver_like_dusting,"Silver-like dusting is a fine, silvery-white scaling on the skin, often seen in psoriasis."
irritation_in_anus,"Irritation in the anus is discomfort, itching, or burning sensation in the anal region."
dischromic _patches,"Dischromic patches are areas of skin with an abnormal or uneven coloration."
restlessness,"Restlessness is a state of unease, inability to stay still, or agitation."
acute_liver_failure,"Acute liver failure is the rapid loss of liver function, typically within days or weeks, in someone without pre-existing liver disease."
cramps,"Cramps are sudden, involuntary, and often painful contractions of a muscle or muscles."
inflammatory_nails,"Inflammatory nails are nails that show signs of inflammation, such as redness, swelling, or pain."
loss_of_appetite,"Loss of appetite is a decreased desire to eat or a complete lack of hunger."
receiving_unsterile_injections,"Receiving unsterile injections refers to getting injections with needles or syringes that have not been properly sterilized, carrying infection risk."
